gene_symbol,human_gene_id,ensembl_gene_id,uniprot_id,synonyms,description,curated_gene_list,curation_evidence,sub_mito_location,pathways,targetp_score,mito_domain_score,coexpression_gnf_n50_score,pgc_induction_score,yeast_mito_homolog_score,rickettsia_homolog_score,msms_score
MRPL21,219927,ENSG00000197345,Q7Z2W9,L21mt|MRP-L21,mitochondrial ribosomal protein L21,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,SharedDomain,13.0,,OrthologMitoHighConf,Ortholog,25-50pure
ALDH4A1,8659,ENSG00000159423,P30038,ALDH4|P5CD|P5CDh,aldehyde dehydrogenase 4 family member A1,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Amino acid metabolism > Glyoxylate metabolism,1.0,SharedDomain,11.0,,OrthologMitoHighConf,NoHomolog,50-75pure
TOMM40L,84134,ENSG00000158882,Q969M1,TOMM40B,translocase of outer mitochondrial membrane 40 like,curated,"targetP signal, yeast mito homolog+, mito protein domain+, induction, coexpression+, MS/MS",MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",3.0,MitoDomain,39.0,1.01,OrthologMitoLowConf,NoHomolog,25-50ambig
NDUFAF1,51103,ENSG00000137806,Q9Y375,CGI-65|CGI65|CIA30|MC1DN11,NADH:ubiquinone oxidoreductase complex assembly factor 1,curated,"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,2.0,SharedDomain,46.0,2.08,NoMitoHomolog,NoHomolog,50-75pure
NDUFB10,4716,ENSG00000140990,O96000,PDSW,NADH:ubiquinone oxidoreductase subunit B10,curated,"literature, APEX_matrix, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,,MitoDomain,48.0,2.29,NoMitoHomolog,NoHomolog,50-75pure
ACADSB,36,ENSG00000196177,P45954,2-MEBCAD|ACAD7|SBCAD,acyl-CoA dehydrogenase short/branched chain,curated,"literature, APEX_matrix, targetP signal, mito protein domain+, induction, coexpression, MS/MS++",Matrix,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,2.0,MitoDomain,28.0,0.57,NoMitoHomolog,NoHomolog,75-100pure
MRPS9,64965,ENSG00000135972,P82933,MRP-S9|RPMS9|S9mt,mitochondrial ribosomal protein S9,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS",Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome,3.0,SharedDomain,20.0,0.9,OrthologMitoHighConf,Homolog,50-75ambig
COQ8A,56997,ENSG00000163050,Q8NI60,ADCK3|ARCA2|CABC1|COQ10D4|COQ8|SCAR9,coenzyme Q8A,curated,"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,,SharedDomain,30.0,1.34,OrthologMitoLowConf,Homolog,50-75pure
ACADVL,37,ENSG00000072778,P49748,ACAD6|LCACD|VLCAD,acyl-CoA dehydrogenase very long chain,curated,"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression+, MS/MS++",MIM,Metabolism > Lipid metabolism > Fatty acid oxidation,1.0,MitoDomain,38.0,,NoMitoHomolog,NoHomolog,75-100pure
COQ4,51117,ENSG00000167113,Q9Y3A0,CGI-92|COQ10D7,coenzyme Q4,curated,"literature, targetP signal+, yeast mito homolog++, mito protein domain+, coexpression, MS/MS",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,1.0,MitoDomain,7.0,,OrthologMitoHighConf,NoHomolog,50-75ambig
MRPL15,29088,ENSG00000137547,Q9P015,HSPC145|L15mt|MRP-L15|MRP-L7|RPML7,mitochondrial ribosomal protein L15,curated,"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,4.0,SharedDomain,9.0,2.17,OrthologMitoHighConf,Ortholog,50-75ambig
NDUFA2,4695,ENSG00000131495,O43678,B8|CD14|CIB8|MC1DN13,NADH:ubiquinone oxidoreductase subunit A2,curated,"literature, APEX_matrix, targetP signal, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,2.0,SharedDomain,43.0,0.57,NoMitoHomolog,NoHomolog,75-100pure
MRPL24,79590,ENSG00000143314,Q96A35,L24mt|MRP-L18|MRP-L24,mitochondrial ribosomal protein L24,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,3.0,SharedDomain,6.0,,OrthologMitoHighConf,Ortholog,50-75pure
HSPD1,3329,ENSG00000144381,P10809,CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13,heat shock protein family D (Hsp60) member 1,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS++",Matrix,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",1.0,SharedDomain,,,OrthologMitoHighConf,Homolog,75-100pure
NDUFS5,4725,ENSG00000168653,O43920,CI-15k|CI15K,NADH:ubiquinone oxidoreductase subunit S5,curated,"literature, APEX_IMS, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,,MitoDomain,44.0,1.35,NoMitoHomolog,NoHomolog,75-100pure
AK3,50808,ENSG00000147853,Q9UIJ7,AK3L1|AK6|AKL3L|AKL3L1|FIX,adenylate kinase 3,curated,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++",Matrix,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,2.0,SharedDomain,26.0,0.89,HomologMitoLowConf,Homolog,75-100pure
CYCS,54205,ENSG00000172115,P99999,CYC|HCS|THC4,"cytochrome c, somatic",curated,"literature, APEX_IMS, yeast mito homolog++, Rickettsial homolog, mito protein domain+, MS/MS++",IMS,Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C | Mitochondrial dynamics and surveillance > Apoptosis,,MitoDomain,1.0,,OrthologMitoHighConf,Ortholog,75-100pure
MIPEP,4285,ENSG00000027001,Q99797,COXPD31|HMIP|MIP,mitochondrial intermediate peptidase,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, MS/MS++",Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",1.0,SharedDomain,3.0,1.33,OrthologMitoHighConf,NoHomolog,50-75pure
LYRM7,90624,ENSG00000186687,Q5U5X0,C5orf31|MC3DN8|MZM1L,LYR motif containing 7,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++",Matrix,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,2.0,MitoDomain,,,OrthologMitoHighConf,NoHomolog,75-100pure
CRAT,1384,ENSG00000095321,P43155,CAT|CAT1|NBIA8,carnitine O-acetyltransferase,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, induction, coexpression, MS/MS++",MIM,Metabolism > Lipid metabolism > Fatty acid oxidation,2.0,SharedDomain,15.0,1.47,OrthologMitoLowConf,NoHomolog,50-75pure
PCCB,5096,ENSG00000114054,P05166,-,propionyl-CoA carboxylase subunit beta,curated,"literature, targetP signal+, Rickettsial homolog, mito protein domain, coexpression+, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation,1.0,SharedDomain,31.0,,HomologMitoLowConf,Homolog,75-100pure
MRPS7,51081,ENSG00000125445,Q9Y2R9,COXPD34|MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a,mitochondrial ribosomal protein S7,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression+, MS/MS",Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,SharedDomain,38.0,,OrthologMitoHighConf,Homolog,50-75ambig
MRPL3,11222,ENSG00000114686,P09001,COXPD9|MRL3|RPML3,mitochondrial ribosomal protein L3,curated,"literature, APEX_matrix, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,4.0,SharedDomain,22.0,1.52,OrthologMitoHighConf,Ortholog,50-75crude
PRODH,5625,ENSG00000100033,O43272,HSPOX2|PIG6|POX|PRODH1|PRODH2|TP53I6,proline dehydrogenase 1,curated,"literature, targetP signal, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++",MIM,"Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Electron carriers > Q-linked reactions, other",3.0,MitoDomain,11.0,,OrthologMitoLowConf,NoHomolog,50-75pure
PCCA,5095,ENSG00000175198,P05165,-,propionyl-CoA carboxylase subunit alpha,curated,"literature, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Propanoate metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Biotin utilizing proteins,2.0,SharedDomain,37.0,0.95,NoMitoHomolog,Homolog,75-100pure
MCCC1,56922,ENSG00000078070,Q96RQ3,MCC-B|MCCA,methylcrotonoyl-CoA carboxylase 1,curated,"literature, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Vitamin metabolism > Biotin utilizing proteins,2.0,SharedDomain,35.0,1.08,NoMitoHomolog,Homolog,75-100pure
MRPS12,6183,ENSG00000128626|ENSG00000283018,O15235,MPR-S12|MT-RPS12|RPMS12|RPS12|RPSM12,mitochondrial ribosomal protein S12,curated,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS+",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,,SharedDomain,35.0,0.54,OrthologMitoHighConf,Homolog,25-50pure
CLPB,81570,ENSG00000162129,Q9H078,ANKCLB|HSP78|MEGCANN|MGCA7|SKD3,caseinolytic mitochondrial matrix peptidase chaperone subunit B,curated,"APEX_IMS, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++",IMS,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",1.0,SharedDomain,1.0,,OrthologMitoLowConf,Ortholog,50-75pure
PDK1,5163,ENSG00000152256,Q15118,-,pyruvate dehydrogenase kinase 1,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain+, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,1.0,MitoDomain,2.0,,OrthologMitoLowConf,NoHomolog,50-75pure
MRPL49,740,ENSG00000149792,Q13405,C11orf4|L49mt|MRP-L49|NOF|NOF1,mitochondrial ribosomal protein L49,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, coexpression, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,SharedDomain,10.0,,OrthologMitoHighConf,NoHomolog,75-100pure
COX7A2,1347,ENSG00000112695,P14406,COX7AL|COX7AL1|COXVIIAL|COXVIIa-L|VIIAL,cytochrome c oxidase subunit 7A2,curated,"literature, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,,MitoDomain,46.0,0.87,NoMitoHomolog,NoHomolog,50-75pure
TMEM126A,84233,ENSG00000171202,Q9H061,OPA7,transmembrane protein 126A,curated,"literature, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,,MitoDomain,45.0,0.93,NoMitoHomolog,NoHomolog,50-75pure
ECHDC2,55268,ENSG00000121310,Q86YB7,-,enoyl-CoA hydratase domain containing 2,curated,"targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",Matrix,0,2.0,SharedDomain,10.0,,OrthologMitoLowConf,Homolog,50-75pure
HCCS,3052,ENSG00000004961,P53701,CCHL|LSDMCA1|MCOPS7|MLS,holocytochrome c synthase,curated,"literature, APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS",IMS,Metabolism > Metals and cofactors > Heme synthesis and processing | OXPHOS > OXPHOS subunits | OXPHOS > Cytochrome C,,MitoDomain,18.0,2.2,OrthologMitoHighConf,NoHomolog,50-75ambig
HIBADH,11112,ENSG00000106049,P31937,NS5ATP1,3-hydroxyisobutyrate dehydrogenase,curated,"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression+, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,1.0,SharedDomain,35.0,1.78,NoMitoHomolog,NoHomolog,50-75pure
MRPL19,9801,ENSG00000115364,P49406,L19mt|MRP-L15|MRP-L19|MRPL15|RLX1|RPML15,mitochondrial ribosomal protein L19,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,SharedDomain,5.0,,OrthologMitoHighConf,Ortholog,25-50pure
MRPL36,64979,ENSG00000171421,Q9P0J6,BRIP1|L36mt|MRP-L36|PRPL36|RPMJ,mitochondrial ribosomal protein L36,curated,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression+",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,SharedDomain,39.0,0.69,OrthologMitoHighConf,Ortholog,
SLC25A30,253512,ENSG00000174032,Q5SVS4,KMCP1,solute carrier family 25 member 30,curated,"literature, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++",MIM,Metabolism > Sulfur metabolism | Small molecule transport > SLC25A family,5.0,MitoDomain,11.0,,OrthologMitoLowConf,NoHomolog,75-100pure
BDH1,622,ENSG00000161267|ENSG00000275544,Q02338,BDH|SDR9C1,3-hydroxybutyrate dehydrogenase 1,curated,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS++",MIM,Metabolism > Carbohydrate metabolism > Ketone metabolism,1.0,SharedDomain,6.0,1.72,NoMitoHomolog,Homolog,75-100pure
FARS2,10667,ENSG00000145982,O95363,COXPD14|FARS1|HSPC320|PheRS|SPG77|mtPheRS,"phenylalanyl-tRNA synthetase 2, mitochondrial",curated,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS",Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases,2.0,SharedDomain,23.0,1.09,OrthologMitoLowConf,Homolog,25-50ambig
ABCB7,22,ENSG00000131269,O75027,ABC7|ASAT|Atm1p|EST140535,ATP binding cassette subfamily B member 7,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression+, MS/MS+",MIM,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Molybdenum cofactor synthesis and proteins | Small molecule transport > ABC transporters,2.0,SharedDomain,35.0,,OrthologMitoLowConf,Homolog,25-50pure
MTX1,4580,ENSG00000173171,Q13505,MTX|MTXN,metaxin 1,curated,"literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++",MOM,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions",5.0,MitoDomain,5.0,,OrthologMitoHighConf,NoHomolog,50-75pure
NDUFA7,4701,ENSG00000267855,O95182,B14.5a|CI-B14.5a,NADH:ubiquinone oxidoreductase subunit A7,curated,"literature, APEX_matrix, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,4.0,MitoDomain,41.0,,NoMitoHomolog,NoHomolog,75-100pure
TIMM17A,10440,ENSG00000134375,Q99595,TIM17|TIM17A,translocase of inner mitochondrial membrane 17A,curated,"literature, APEX_IMS, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS+",MIM,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway",,MitoDomain,25.0,1.44,OrthologMitoLowConf,NoHomolog,75-100ambig
ALDH9A1,223,ENSG00000143149,P49189,ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH,aldehyde dehydrogenase 9 family member A1,curated,"APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Detoxification > ROS and glutathione metabolism,1.0,SharedDomain,10.0,,OrthologMitoLowConf,NoHomolog,50-75pure
MRPS18C,51023,ENSG00000163319,Q9Y3D5,CGI-134|MRP-S18-1|MRP-S18-c|MRPS18-1|S18mt-c|mrps18-c,mitochondrial ribosomal protein S18C,curated,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,4.0,SharedDomain,12.0,,OrthologMitoHighConf,Homolog,50-75pure
MARS2,92935,ENSG00000247626,Q96GW9,COXPD25|MetRS|mtMetRS,"methionyl-tRNA synthetase 2, mitochondrial",curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression, MS/MS+",Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases,2.0,SharedDomain,13.0,,OrthologMitoHighConf,Homolog,25-50pure
ALDH6A1,4329,ENSG00000119711,Q02252,MMSADHA|MMSDH,aldehyde dehydrogenase 6 family member A1,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, coexpression, MS/MS++",MIM,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,2.0,SharedDomain,29.0,,OrthologMitoLowConf,NoHomolog,75-100pure
FDXR,2232,ENSG00000161513,P22570,ADR|ADXR|ANOA,ferredoxin reductase,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, coexpression, MS/MS++",Matrix,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Vitamin metabolism > Vitamin D metabolism",1.0,,8.0,,OrthologMitoHighConf,NoHomolog,75-100pure
GATC,283459,ENSG00000257218,O43716,15E1.2|COXPD42,glutamyl-tRNA amidotransferase subunit C,curated,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS",Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases,2.0,MitoDomain,16.0,0.91,NoMitoHomolog,Ortholog,25-50ambig
TRAP1,10131,ENSG00000126602,Q12931,HSP 75|HSP75|HSP90L|TRAP-1,TNF receptor associated protein 1,curated,"APEX_matrix, GFP, targetP signal+, Rickettsial homolog, mito protein domain, coexpression++, MS/MS+",Matrix,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",1.0,SharedDomain,45.0,,NoMitoHomolog,Homolog,75-100ambig
ACAD8,27034,ENSG00000151498,Q9UKU7,ACAD-8|ARC42|IBDH,acyl-CoA dehydrogenase family member 8,curated,"literature, APEX_matrix, targetP signal+, mito protein domain+, coexpression, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,1.0,MitoDomain,23.0,,NoMitoHomolog,NoHomolog,50-75pure
ALDH2,217,ENSG00000111275,P05091,ALDH-E2|ALDHI|ALDM,aldehyde dehydrogenase 2 family member,curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Detoxification > Xenobiotic metabolism,1.0,SharedDomain,5.0,,OrthologMitoLowConf,NoHomolog,75-100pure
PPIF,10105,ENSG00000108179,P30405,CYP3|CyP-M|Cyp-D|CypD,peptidylprolyl isomerase F,curated,"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression, MS/MS++",Matrix,Signaling > Calcium homeostasis > Mitochondrial permeability transition pore,1.0,SharedDomain,7.0,4.9,HomologMitoLowConf,NoHomolog,75-100pure
TIMM22,29928,ENSG00000177370|ENSG00000277649|ENSG00000278501,Q9Y584,COXPD43|TEX4|TIM22,translocase of inner mitochondrial membrane 22,curated,"literature, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS",MIM,"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway",,MitoDomain,11.0,1.1,OrthologMitoHighConf,NoHomolog,50-75ambig
IVD,3712,ENSG00000128928,P26440,ACAD2,isovaleryl-CoA dehydrogenase,curated,"literature, APEX_matrix, targetP signal, mito protein domain+, coexpression+, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,2.0,MitoDomain,38.0,,NoMitoHomolog,NoHomolog,75-100pure
L2HGDH,79944,ENSG00000087299,Q9H9P8,C14orf160|L2HGA,L-2-hydroxyglutarate dehydrogenase,curated,"literature, APEX_matrix, targetP signal+, mito protein domain, induction, coexpression, MS/MS++",MIM,Metabolism > Carbohydrate metabolism > TCA-associated,1.0,SharedDomain,20.0,2.62,NoMitoHomolog,NoHomolog,50-75pure
ETHE1,23474,ENSG00000105755,O95571,HSCO|YF13H12,ETHE1 persulfide dioxygenase,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog+, mito protein domain, induction, MS/MS++",Matrix,Metabolism > Sulfur metabolism,2.0,SharedDomain,3.0,2.28,OrthologMitoLowConf,NoHomolog,75-100pure
MRPL20,55052,ENSG00000242485,Q9BYC9,L20mt|MRP-L20,mitochondrial ribosomal protein L20,curated,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,1.0,SharedDomain,18.0,1.56,NoMitoHomolog,Ortholog,50-75ambig
SLC25A5,292,ENSG00000005022,P05141,2F1|AAC2|ANT2|T2|T3,solute carrier family 25 member 5,curated,"literature, yeast mito homolog+, mito protein domain+, induction, MS/MS++",MIM,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family,,MitoDomain,,1.72,OrthologMitoLowConf,NoHomolog,75-100pure
SLC25A12,8604,ENSG00000115840,O75746,AGC1|ARALAR|EIEE39,solute carrier family 25 member 12,curated,"literature, yeast mito homolog+, mito protein domain+, induction, MS/MS++",MIM,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Amino acid metabolism > Glutamate metabolism | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family,,MitoDomain,2.0,1.97,OrthologMitoLowConf,NoHomolog,75-100pure
MRPS21,54460,ENSG00000266472,P82921,MDS016|MRP-S21|RPMS21,mitochondrial ribosomal protein S21,curated,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,,SharedDomain,,1.35,OrthologMitoHighConf,Ortholog,50-75pure
TOMM22,56993,ENSG00000100216,Q9NS69,1C9-2|MST065|MSTP065|TOM22,translocase of outer mitochondrial membrane 22,curated,"literature, yeast mito homolog++, mito protein domain+, coexpression, MS/MS++",MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",,MitoDomain,9.0,,OrthologMitoHighConf,NoHomolog,75-100pure
ACAA2,10449,ENSG00000167315,P42765,DSAEC,acetyl-CoA acyltransferase 2,curated,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression+, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism,3.0,SharedDomain,31.0,0.93,NoMitoHomolog,Homolog,75-100pure
MRPL30,51263,ENSG00000185414,Q8TCC3,L28MT|L30MT|MRP-L28|MRP-L30|MRPL28|MRPL28M|RPML28,mitochondrial ribosomal protein L30,curated,"literature, APEX_matrix, yeast mito homolog++, mito protein domain, coexpression++, MS/MS",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,4.0,SharedDomain,47.0,,OrthologMitoHighConf,NoHomolog,50-75ambig
DNAJA3,9093,ENSG00000103423|ENSG00000276726,Q96EY1,HCA57|TID1|hTID-1,DnaJ heat shock protein family (Hsp40) member A3,curated,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS+",Matrix,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",3.0,SharedDomain,44.0,1.19,NoMitoHomolog,Homolog,25-50pure
NDUFB2,4708,ENSG00000090266,O95178,AGGG|CI-AGGG,NADH:ubiquinone oxidoreductase subunit B2,curated,"literature, targetP signal, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,2.0,,50.0,0.73,NoMitoHomolog,NoHomolog,50-75pure
MRPS34,65993,ENSG00000074071,P82930,COXPD32|MRP-S12|MRP-S34|MRPS12,mitochondrial ribosomal protein S34,curated,"literature, APEX_matrix, targetP signal, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,,45.0,1.43,NoMitoHomolog,NoHomolog,50-75pure
ETFB,2109,ENSG00000105379,P38117,FP585|MADD,electron transfer flavoprotein subunit beta,curated,"literature, APEX_matrix, yeast mito homolog, mito protein domain, induction, coexpression+, MS/MS++",Matrix,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",5.0,SharedDomain,39.0,1.36,HomologMitoHighConf,NoHomolog,75-100pure
AFG1L,246269,ENSG00000135537,Q8WV93,AFG1|LACE1|c222389,AFG1 like ATPase,curated,"APEX_matrix, yeast mito homolog++, Rickettsial homolog, coexpression, MS/MS+",MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",4.0,,29.0,,OrthologMitoHighConf,Ortholog,25-50pure
ATP5IF1,93974,ENSG00000130770|ENSG00000285390,Q9UII2,ATPI|ATPIF1|ATPIP|IP,ATP synthase inhibitory factor subunit 1,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, MS/MS++",Matrix,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,3.0,MitoDomain,4.0,,OrthologMitoHighConf,NoHomolog,50-75pure
